,Comments
2709,Bhaiya kya btech ke 3rd year complete hone ke baad can I apply for mtech in foreign country
2710,"Hii sir, I am a 12th passed out student in science grp but u see sir I am not a very studious persons so I just scored a decent 61% in total in class 12th.. So, I am left with two options for clg which is  doing  a B.E degree in average ok-ish collage or BCA in a very good collage with good placements and if I do i will certainly do MCA as soon as I complete my BCA... Which one will u suggest for me to do sir???"
2711,What is your education qualification for software engineer
2712,"If NEP will get applied I'll take 
English
Bussiness studies 
Economics 
Physics
Mathematics
Chemistry 

I just want subjects from both commerce and science."
2713,Bhai tumne toh lasta mai dara hi diya 🧐
2714,You are cool bro
2715,Sir Lecture English To English hote hai ya Hindi me bhi Samjhate hai
2716,Bhaiya ye CGPA kya hota he
2717,If your math is not good in (calcules)  then engineering not for you . I am in 1 st sem and I am about to cry .
2718,engineering lene ke baat pahle sem Me jab ATKT lagti Hai tab samajh mein aata hai ab zindagi Ke loade lagne wale hai😅🤣🤣
2719,Bhaiya Aap Attendence bhul Gaye kayese ?
2720,bro i am a bsc cs student i am watching this video and thinking that why iam watching this 😂😂😂
2721,Bro ...kisi semister me koi fail ho jata he to kya hota he..????... please reply 🥺🥺...may avi 11 me hu...mai vi computer science lungga🤗
2722,I like the engineering students who want to invent new thing so they read engineering but i don't like the engineering students who read engineering for getting high paying jobs😤
2723,What is the rank  of Indian engineering colleges in the world 😂😂
2724,Aur job lagi apki?
2725,Pls suggest youtube channels for btech in ai  for all subjects
2726,bhiyya subject ke bare me batao semister wise
2727,1:58 video starts
2728,Bhaiya aapki branch kya thi ?
2729,bhaiya  mujhe CSE ECE nhi mil rhi acchi nits me to kya mai kuch nhi k r skta mera dream tha IT companies me job krne ka mujhe IT. ML me bahut interest tha
2730,Sale sab log faltu ke comments kr rhe hain koi comment kam ka nhi hai
2731,Vhai katam hogeya engineering?
2732,Bhai jamia mai civil mil ri h kya kru lu ya na lo suggest someone plzz
2733,jee ke preparations se zyada tough hai
2734,"Har sem Mai 2-3 Subject aise hote Hai
Jinme Har subject ke 10 practicals hote Hai wo bhi 8-8 pages ke Har experiment Ko yaad karna padta Hai. Koi saa bhi exam Mai likhne Ko De sakte Hai. Aur ek hi din Mai 2 exam liye jaate Hai lagtaar mid semester 3 din Mai Khatam Kar dete Hai. Ye Saari batte missing thi. Engineering mere experience se thoda Hard Hai kyuki bhaut pressure Hota Hai 1st year waalo ke liye ye Maine apne experience se Bata Raha Hu"
2735,Ajay Raj is a software engineer at paytm now✌🏻
2736,Aap konsi branch se ho
2737,i am a fresher who joined btech cse and am watching this ...xD
2738,Me watching this video in second Year Engineering 😂😂😂😂😂
2739,Engineering kia nhi jata ho jata hain ... mere bhai 😄
2740,"Sir
Aapne konsi engineering ki hai
Matlab civil,software, mechanical,electrical"
2741,aapne kon se college se engeniring ki hai
2742,What is project bro
2743,10 din baad bhul jayenge 😂😂😂
2744,What's your branch?
2745,"Engineering is easy it's a false statement,but yes engineering is relatively easier than medical,"
2746,Pure video me kya bol rha kud hi samag rha
2747,"Hard hai bhai, Core Branches are difficult to crack till Sem 6 as it has deal with a lot of maths but other subjects are interesting!!!!"
2748,Kon se college se hoo bhaii
2749,Bro what is your 12th result?
2750,Aap konsi college me ho
2751,"Vai.. Main cse mai lateral entry hu. I don't have any knowledge about coding. 
Kya main 2nd yr se thik thak sikh sakta hu as a beginner."
2752,"Wanna be 9 pointer in clg..learn from 9 pointer of IITs
https://youtu.be/QOszejzsjMk"
2753,3rd year ko in hone ke liye kitne credit hone chahiye (2019pattern)
2754,Bhai btech it easy hoti hai ya tough ?? Please reply
2755,Sir kuj bhi bolo ap bahut achhe insan ho✨✨🥰🥰🥰🥰
2756,"8 cgpa lao ya 9cgpa ... Job to kewal cs it ko milegi... Eee, ec me, ce wale brojgaar hi rahenge"
2757,Congrats Ajay sir for 1.05 laks subs ❤️🥳
2758,Brother aap IIT se ho ya private collage 🙄 ?
2759,cse last year easy or hard
2760,bro cse ke full portion vedio karo
2761,Electrical engineering ❤️
2762,Apke 12th m kitni bani 😌😌 or apne konse subject m engineering 🤔 ki
2763,You are in which branch
2764,Jaa raha hu B.TECH karne🗿
2765,Engineering is an art ❤️
2766,English  juri h kya by the way mera thora week h .. 😂
2767,Branch bhi bata dete bhai 🙂
2768,bro may 10th kay baad aaya ho
2769,watching this after semester-1
2770,Worst explanation ever
2771,"Arrey yaar kar kay rahai ho tum mai bolraha hu chodh do 
Yai sab Douglapan hai
Engineering ka matalab hai skill development innovation
Sab lagai padai hai cgpa jobs kay peechai jab naukr he Banna tha toh 
Kisse kay pas kaam karlaite
Engineering karni ki zorurt he kay thi phir"
2772,Bhiya I am inter me PCB se hu kya I B TECH computer science engineering course kar sakte hai please bataye
2773,Currently I'm doing btech ... I'm in first sem... literally whole sem i was thinking why I choose BTech....they don't give us time to enjoying anything 🥺🥺🥺....from tomorrow I have my sem exam ....wish me luck🥺
2774,Aap koun se branch se ho aur koun se colleges.
2775,"FREE LIVE LECTURES  
https://youtu.be/J6cDXvp5axA"
2776,"FREE LIVE LECTURES  
https://youtu.be/J6cDXvp5axA"
2777,"FREE LIVE LECTURES  
https://youtu.be/J6cDXvp5axA"
2778,FREE engg drawing live lectures : https://youtu.be/f3LTbOMjA94
2779,"Without cs degree b-com guy can go for placement if he know enough for Microsoft/amazon at off campus??
They see skill or degree!!
Please reply bhiya"
2780,From my experience if it's online and you just want to pass without backlogs than you don't need to study.
2781,Bhai hindi medium valo ko b. Tech krna chahiye k nhi
2782,Sudhanshu was here
2783,Bhai 1st year B.E civil engineering ka liya best book  ya topic banavo na
2784,CA karka dakho pata chalega engineering kuch bhi nhi hai jo mehnant CA mai wo sirf mai samaj sakta hu 😌
2785,Apka konsa branch hay bro
2786,"Why u have taken engineering?
Me:I want problems, I don't want peace 😅😃🤘"
2787,Ajay bhai offline hone do tab pata chalega 😂
2788,Second year mein branch switch kar sakte hai kya?
2789,Engineering is basically a pressure test
2790,bhai assigment submit karna necessary hai kya CSE BTECH MEI
2791,https://youtu.be/q2aTgefWxMY
2792,I think engineering course is very tough because the subject is tough and the teachers are not of that quality so it becomes difficult for us to understand the concept and also online lectures are not much available...
2793,I didn't get computer science engineering but I got information science is it good for placements and for GATE exam
2794,Bhai tumhara konsa branch
2795,"I did well in engineering, but naah it's not easy 🥲"
2796,Subjects varies with courses in different colleges buddy.
2797,"Ghanta engineering of kuch nahi sikhte, tum earning karte ho baki logo ka kya"
2798,Today is my first engineering class I feel  tough 😭😭😭😭
2799,Jo engineering ko asaan Or maza samajh raha he woh sirf govn engineeeing college ke hostel wale he . Baki emgineering hard or boring private college ke unn baccho ko lagta he jo ghar se padht he
2800,Apko kitne ki package laga he?
2801,Bro ED subject ke bare me btayo
2802,Great sir ❤❤❤
2803,"chutiye hote hn jo kehte haai
Ho JaAtI h
first of all its totally IQ based,chutiya logo k bass ki baat ni hai like mbbs sab ratt dalo
aur ek maheena hua h college khule ache khaase assignments mil rhe hn ek k baad ek but i am enjoying it"
2804,Bhaisahab Aman bhaiya ne sabko bigar diya hai Babbar bhaiya ki video me lagta hai ki wo Aman bhaiya ki tarah bol rahe hai apki video me lagta hai aap babar bhaiya ki tarah 😂
2805,Thanks❤ Bhaiya
2806,bhaiya aap kaunsi branch ke ho engineering se?
2807,Content!😊👍
2808,"Easy to life mein kuch h hi nhi 
😎"
2809,What's ur branch??
2810,Bhaiya ek help chiye....
2811,U r in which college.....??
2812,bro are you @tech junkies
2813,Does anyone knows slrtce?
2814,What Is his branch
2815,Skills matter ultimately not the degree
2816,Konsi kri hai apne
2817,Engineering is literally the biggest Scam in India 🙏
2818,Sir mera  engenireeing karne ka man hai but I am average students
2819,"Chuteypa ha engineering lenaa
Cheeii be 4sal brbadh ho gyee yrr🥺🥺"
2820,Bhai ap konse college me ho aur lpu or chitkara me se konsa achha rahega btech cse ke
2821,Bro which is your branch ??
2822,Engineering mushkil nahi hai mushkil Insaan Apni Soch Se bana deta hai
2823,I'm a computer graduate. And students of my age are doing really great also they are making money like a pro. But i really don't know what to do. I really wanna start a YouTube channel and also an website. But the question is how  ? I don't have money and we need money for everything. I'll do my mca then I'll get job and after making money I'll be able to start my YouTube channel and website.. It's really tough though.
2824,From Which college you are doing btech
2825,"Bhai mein diploma k base par Engineering mein Direct second year mein admission le raha hu 
Koi bata sakta hai college kab tak khulne wale hai 
Any plz bata dena"
2826,Bhai tu kuch point bolna chahta hai ...lekin ruk kyu jata hai 🤔
2827,"Engineering is easy until you're away from NIT Andhra Pradesh
(specially CSE branch)"
2828,Engineering easy 😂😂😂😂😂😂😂😂😂😂😂😂😂🤣😂😂🤣🤣😂🤣😂😂🤣😂🤣😂😂😂
2829,"To, online waale engineer ho aap🤣🤣😂😂"
2830,Aap kon si branch sa  ho ?
2831,"How will u describe your skills at Math? Bcoz, I am a bit below mediocre in Math..😒"
2832,Abhi to mene admission bhi nhi liya abhi s m ye dekh rha hu 😂😂😂
2833,Aap du me kis branch me hai
2834,Bhaiya mene 19.5 age me b.tech me admission liya h to age ka koi issue to nhi hoga plz btao....
2835,Bhaiya kya b.tech jo students kr rahe h vo iphone leskte h? Koi issue ni n h!?
2836,Sir aap konse college me ho. Konsi branch aapne li hai. Aur konsi branch achi hai.
2837,Aap kis branch se hau
2838,Tx sir jee
2839,Bhai lo₹e laga diye
2840,2:34 kya chl raha h ???
2841,Which college and degree you are ajayraj
2842,Ajay What is Ur Branch in DTU
2843,Memes daal ke moz kra det jo..😅🤗
2844,Everyone is talking about how to give exam and how to get good placement but the reality is that nobody is talking about what engineering actually is! It's like talking about one small thing out of an oceay.
2845,In engineering preparation for upsc and studing history geography polity general knowledge etc etc
2846,What was you AIR rank?
2847,I am 12th std... Pcb is engeeneering is best for me🤔🤔
2848,Sir what about artificial intelligence and machine learning engineering.?is it same as cs engineering..which has best scope in future.can a ordinary can survive in this engineering ..... Pls inform sir.....pls
2849,What about electrical engineering?
2850,content gaya tel lene ..pehle subscribe ..hahahah
2851,thank you that helped me so much
2852,Bhi enginering mein coding ani cahiye
2853,To aaj English please😂
2854,7:20😂😂😂😂😂
2855,"Beer biceps, aman dhattarwal, flying beast


Uk what i mean!!"
2856,"top teachers be like
sadak se utha kr iitian bana duunga"
2857,engineering ko janana hai to NIKOLA TESLA ko padh lo.
2858,Ajay bhai ap se do teen cheez puchni hai....
2859,Bhai....aapki internship lgi k nhi....
2860,Just commenting to make complete 400 comments😂😅😄
2861,Bhai BBA ll.b me  BHI bund fat jaani hai 🤣🤣🤣🤣🤣
2862,i got 95.70 percentile obc ncl can i get seat dtu / nsut other state
2863,i got 95.70 percentile obc ncl can i get seat dtu / nsut other state
2864,In 3rd year we have lot of free time in compare to 2nd year bhaiya??
2865,"Phele teachers ne btaya tha ki engineering me bhut sundar sundar larkiya hoti h 


Yaha aane ke bad pta chla ki larkiya hi nahi hoti 😭😭😭😭

💔💔💔💔 
Ab kya is bolu is point pe...........


Bas is chiz ki kami mahsus ho rahi h baki maze h yaar"
2866,Bhaiya mere bas abhi 2 mahine baad boards hai phir 12th khatam fhir college mai jaane hi wala hu. Thank you batane ke liye.
2867,7:20 aaaha aaha.... 😂
2868,Dtu lateral entry 2021 exam ke uppar banaiye
2869,If you love *studies* then engineering is easy for you.
2870,Which is your branch?
2871,Ur branch?
2872,How much percentile we have to score for getting mechanical engineering in dtu ?
2873,Bhai humara college itna harami hai sala class to online karwayi. But end sem exam offline ke liye bulaya jayegaa itnaa madarchod college mai admiss kiya huun kya bataye🥺🥺
2874,Hamare exams offline chalu ho gaye hai bhai 😂 3 paper baki hai
2875,Mujhe lagta hai tum cs engineering kar rahe ho!
2876,Bhai dtu ya iiit allahabad for it kon baiya hai 🙏🙏🙏🙏
2877,Bhaiya plz tell me kya engineering college me sports like cricket se career bna skte h....padhai ke saath
2878,Gate exam pe vedio banao
2879,Gate exam pe vedio banao
2880,Ghanta easy. 1st year me phat jaa rhi he.
2881,"Bro I'm also cs engineer from thappar without any backlog with 9cgp but i think har bnda kr skta h engg because i fail 6,7, and 8th class i was promoted all those classes  after that i did diploma engineering with 9.7 cgp same as grad after all those shit i came to a conclusion agr me kr skta hu to koi bhi aram se kr skta h"
2882,Hloo bro yll bro mera 12th standard 2018 mai complet hua hai yll problems hoge kya course samjhnai mai 12th mera  hindi medium se apne experience se batao.??
2883,Bhaiya agar jee mains/adv ke level se compare kare to college ki padai kahan aayegi??
2884,"Total education system hi barbad hai ...
Practical knowledge thoda bahut milega  jo kisi kaam ke nahin auur industrial based knowledge engineering karne ke badd pata chalega  college mai bas outdated syllabus hi padhaya jayega etc..ese bahut kuchh baklol chijje chalata rahega jisse na app innovative idea paoge na hi kuchh naaya soch paoge ...
Jab tak ye system nahin badlega kranti jab tak nahin ayyegi bas jo chal raha hai chalta rahega baki IITian bhi bahut hai per innovation  ka kehna hi kya ... MNCs ke gulam bann jate hain"
2885,"hi, no one on YouTube ever explains different branches in engineering, what are the branches about, what can a 12th student expect in these branches, so can you please explain it? after taking reviews from students from other branches too. it would be really helpful"
2886,CGPA OR SGPA IN RESULTS 🙄🙄🙄
2887,"You should definitely try RJ career
Awesome voice"
2888,bhaiya i m fresher. plzz dtu khulwaado bss hmaare end sem ko tests me hi divided rhne dena
2889,Bella chao
2890,1:27 bilkul sai baat bole bhaiya ji😂
2891,"Bro I am going to college after 3months 
To aap  mujhe batao ki main laptop lun ya PC
Cuz main hostel mein hi rahunga
Budget 1 lac"
2892,The fav sport you love but you leave that sport for your studies but that sport you get during the college this line is somehow true 😁
2893,im doing btech from *IIT* kanpur.civil
2894,👍👍👍👍
2895,"https://youtu.be/AqyUrGLPS2s
Most overlooked way to be more productive 👍"
2896,Can we make group project with a guy of another stream ???
2897,Bhai tu kish branch se hai ?
2898,Sir are you an engineer ????
2899,Placement ki umeed nahi hoti to youtuber ban jate😂😂
2900,Bhaiya kya mechanical engineering me laptop lena padega kya..... please reply
2901,https://youtu.be/ylfhtKDQCXs
2902,Which college?? Nd ur branch?
2903,"9 min ki video bnane k liye 3 saal rukna pda.....
Itni mhnat😂"
2904,bhaiya aap kon se phone se record krte h vdo.
2905,Bhai bhai sab jabaan ki baate kar daali 😂😂
2906,"bhaiya, try adding music in background and if you start working on your video's contrast thing, you'll rock more
you already have come so far, so I just thought that I should give a small feedback to you
Otherwise you have achieved really good skills already
Contrast in video like, your shirt color and background"
2907,Atchese padna matlab
2908,"What is ur branch in dtu bhaiya, I'm a fresher 2020 cse stream in dtu, willing to meet"
2909,Too hard
2910,Make a brief video on 2nd part
2911,Konse college se
2912,Bro oops pe road map bnao plzz 🙏🙏🙏🙏
2913,8:52 yeh nhi  hona chahiye 😅😅 todha April tak ruk jao phir apna college katam😆😃😂
2914,1:27 rula diya 😢😭😭😭
2915,Es video ko toh share krna bnta hn
2916,"The weightage of end sem of DTU is different from IPU,maybe different for many other colleges/universities.But majority of  syllabus is same as i inquired about this from a prof."
2917,Which university bro
2918,Fully relatable @8:45 🙄😅😭
2919,hi brother i am fresher of COE  branch at DTU and also a national level badminton player so you also being a player can you guide me whom to contact and how can i get in badminton team of dtu and what are the opportunities thereafter.....please guide bhai.......:)
2920,"Hamare to ho b gye offline exams , (btech  cse 3 sem) 😁 or practicals b"
2921,Jab mera 1st sem ka mid sem huaa thaa to mere mostly subjects me mere marks above 25 hi the out of 30....🥱🥱😁
2922,Real engineering to aapko bss hostels me hi milegii....✌️✌️
2923,Online exams to mujhe lagta hai sabhi ne binaa padhaayi kiye binaa diye hai....🙄🙄🤭🤭
2924,Cgp means?
2925,Bai mai nsut ma fresher  hu I can feel it endsem offline h
2926,Accha bhaiya ye batao ki school ke Tarah end semester mei full syllabus hota hai kya
2927,"Lol last part made me anxious suddenly, if college keep final exam offline then surely that meme will become a reality."
2928,"I have around 10 test, 4assignments in these 6days 
Still watching this video🤣"
2929,All the best bruh!! i think this video will go viral #forengineer
2930,isnt college an important deciding factor about how ur engineering will go?
2931,which college are you in?
2932,Ajay bhai ka content har video ke sath accha hota jaa raha hai
2933,#onlineexamaktu 😂😂😂
2934,Bhaiya aap kya abhi single ho kya????
2935,"As per my hone wala experience(I'm in class 12), Mai engineering me phod dunga and hustle toh life ka part hi hai. Kyo Ajay bhai..?"
2936,Bhaiya exam completed in jan 1st sem.
2937,Bhaiya expected cutoff batao plzzz dtu ke liye 🙏🙏🙏🙏🙏🙏
2938,Bhaiya college khulwado online is not worth it
2939,Part at 8:53 is the BEST !!!!! 😂😂😂😂😂
2940,"1st year wlo k online classes,practicals,class tests hore h
Agar offline end sem ho gye to 8:52 🤐🤐"
2941,Ending was nyc 🤣
2942,Bhai dtu me electrical engineering vs mechanical engineering me kya Lena chaiye
2943,"Bhaiya ek video bnao jisme student non tech branch ka h, dtu ya nsut ka ho, aur use achhi placement mili ho."
2944,offline exams ban hone chaiye😂🤣
2945,"Bhai Mera to 2 months me hi halat kharab Ho gya .😭😭
Subjects =
Maths 1
Chemistry 
English
Manufacturing process 
Electronic engineering 
Electrical engineering 
Earth science 
Environment 
And enke labs. 
😭😭😭😭😭😭😭😭😭
Itna kaun padhata h yar. 
Kya Isiliye jee crack ki thi. 
Mai to full depressed hu and one more thing that ""yaisa bhi nahi h ki Kuchh achha padhate h profs. Sale padhate bhi ganda h and bhai Mai 60 days me hi 
3 quizes 
4 labs me 30 lab reports 
Isi me salo ko chahiye ki extra curricular activities karo 
Abe bc time to do Kuchh aur karne ka..........."
2946,Quiz 🥺
2947,"DSLR khareede ho kya bhaiya ??
Recording kaun se device se kiye ho ?"
2948,"engineering is like practice a lot .....bee , maths ,.............."
2949,Bhaiya ye offline exams hone wali baat dil pe lagi h 😑😂
2950,8:28 THIS HIT SO HARD!
2951,Bhaiya l lge pde hai
2952,Bro kon sa collage hai aap ka
2953,"Finally, watched your videos after few days. Videos creation me 🔥🔥 laga rkhi h bhaiya.🌝"
2954,Exams offline ho gye eska hee daar hai esliye pdhna pdega ab
2955,Bhaiy aap jyada diplomatic answer diye ho clear bola kro bhai
2956,"Private college mein engineering mtt Karna agar jee clear Nahi hua toh Kuch aur krlena btech mtt krna seedhi baat 
Bakwas hai engineering 

Engineering ek practical cheez hai aur Dekho humare teachers ne online hee pdha Di 👏👏👏👏👏👏"
2957,are online m sab ho ja rha h 🤣
2958,Nice.
2959,08:46 ek dum sahi padke ho Bhaiyya 😂😂
2960,I'm still worried and confused should I take engineering or not because my maths is weak so I'm little worried should I do engineering or not plzz someone guide me is it easy or hard
2961,Bhai video ki quality kaafi shi h is video me bas thoda lighting jyada rakhna aage se
2962,Does can we go to coaching classes for engineering
2963,College pe video bnaya kariye kyuki idhar less competition and more scope hai
2964,Engineering had maths so definitely according to me it's too hard than biology n medical subjects
2965,Bhagwan bas end sem exams online hi ho😂😂🙏🙏
2966,editing gjb kre ho Ajay Bhaiya
2967,codeforces be like: mai mar gya kya?
2968,IIT ki preparation say easy hai ya nahi.reply please
2969,1:27 😭😭😭😭such me
2970,The Ending 😂😂😂
2971,"Jo JEE ka Syllabus achhese padh ke khoob sara question laga ke Rank Le ke ayega bhai usee kya nahi hoga ??
Same applies to NEET (**exceptions exists**)"
2972,Assignments-ye Bhi kya batane ki baat hai koi😂😂😂
2973,Love from ladakh bhaiya ❤❤❤❤
2974,"Bhaiya is saal jee advanced clear kar ke IIST(Indian Institute of Space Science and Technology) mai mehnat se admission liya 
Kya sapne the mere ki padosiyo ko insta pe pic daal ke chidaaunga
Par yaha pe toh ulta log aaspaas mujhse hi pooch rhe hai, ki beta tera hua bhi ha ya hume pagal bana rha hai😅"
2975,bhai bahut op video
2976,Bhiya college k exam 1 sem k on9 hoge ya offline ??
2977,"Bhaiya When did you join DTU & when will your BTech complete?
And, If I admission in BTech in 2023 when will I get Degree Without any backlog?
Me in 10th standard & accept love from Kolkata Ajay bhaiya. You are doing a great job bhaiya👍❤️."
2978,Lode ka easy hai
2979,6th is attendence
2980,"Bro... When nit colleges are reopening for first year..,....."
2981,Kitna saach bolla hai..😅🤣😂😂
2982,8:53 bhai hum logo k toh college v khul gye hai or exams v offline ho rahe hai  #rip
2983,Handsome lagre ho bhai
2984,The best thing stars from 8:40
2985,Na na college 1 semester tk ni khule 🤭
2986,Bhai mare to asi tesi hoi pde ha assignment krta krta😢😢😢😢😥😥
2987,Mn bhi dtu ka software Engineering ka fresher hu ..or shi h sab bss offline mn mja aata ..but ab kash 1st sem online hi honaaye free ke no. Ki aadat lg gyi h ab
2988,"I can feel Vicky, since I'm a fresher."
2989,"Online exam :
*Cut +copy+open google+paste* !
😎😎😎😎😎😎😎😎😎"
2990,bhaiya ece vs me vs cse  pe banao
2991,Bhai mbbs k hone k bvjod Ajay Bhai ki video ka alg hi swag h keep rocking biradar 👍👍👍
2992,"Himachal mai 1 se start ho gye hai college
Assignment ne bja k rkhi hai😭"
2993,Circuits and systems kase lagta hai ??
2994,Bhaiya Bura Mt maanaa pr Mai Chahta hu Apka dar sach ho
2995,Bhadiya bhai
2996,Last moment was epic🤣
2997,"as per my experience, engineering is too easy to describe if it's an online college and u don't need to study to get 8 cgpa.🤣😂"
2998,"It was good to come across your experience about engineering , keep making like these videos.😊😊"
2999,"Brother ,I'm a fy student.I am also interested in piano, poster designing on mobile and  I managed my class with my interest . Nice to see your video. Thank you 😊👍"
3000,"Bhaiya offline exam vslee bat me dam h 
Apne to L lag jaige 😅"
3001,Bhai jabse online hua tabse aur easy hogaya 😂😂 attendence bhi full hota
3002,"Bhai please Iska reply Kar denaa 

Engineering from tier 3 college , worth it ?"
3003,It's right..
3004,"Engineering makes us everything except an engineer

😂😂😂😎😎😎"
3005,1:22 Well summed up 😭
3006,offline he hn bhai exam .....18 feb se university waale....l***** lg gye bc😖😖😐😐😥🤬🤬
3007,ciao
3008,"Cs it hard hota hai kya 
Mere coding ka zero experience hai"
3009,Amazing Video Bhaiya😀
3010,"College 1 sem me Nahi khulna
chaiye warna starting se Padna padega😂"
3011,Mere ghar wale jinda gaad denge agar offline me hag diya toh😔😔😅😅
3012,"Our Ajay bhai is back 👊
    Ur content was next level bro🔥🔥"
3013,"Hamra college kab reopen hoga ??
So that offline exams ho toh prepared rhe....😂"
3014,"new video , lets go !!!"
3015,"Ending was too epic 😂 
It hits so hard 😂💯"
3016,Engineering is all about 'solving problems' which comes in life after taking engineering !! RECURSION PJ 😂😂
3017,nice bhaiya..and thank you
3018,"Bhau bolu toh engineering tough hota h , majak nhi"
3019,Gate exam pe vedio banao
3020,Bhai gate exam pe banao
3021,#CricketTak
3022,Education system creates unemployment 🥺🥺
3023,"Indian engineering is not engineering, it's just ""10+2""+4"
3024,What a nice experience☺
3025,how you got those beautyfull tables
3026,Ending was true shit😜😆😆
3027,I am in a IIIT. The workload is more. Is it due to Online semester? How can one manage to get skills while managing the assignments and works. I am literally  eating breakfast while watch lectures.
3028,1 mahine me l lg gye idhr engineering kyu ki........
3029,Bhaiya milenge iss saal stu me😀
3030,Ajay Bhaiya Last part was 👌👌👌🤣🤣🤣
3031,Abhi to shuru hi hua hai bhaiya.
3032,"mera 1st sem chal rha h jee 21 dena ka soch rha hu kahi nit iiit or dtu nsut mil jaye mera college wasa nirf 82 pe h current , sahi rhega 2 year waste krna"
3033,"Nai bhaiya 
Jitna socha tha us se toh Kai times hard hai"
3034,Bhaiya aap konse college mai ho?
3035,"yo DTU ke alumni ki new vedio aayi :)
vedio dekhne se pehle like kardi vedio bhaiya wish karna ki mujhe acchi IIIT mile"
3036,"Bhaiya.... Video editing(pehele sikhna hai fir freelancing karni hai) and coding ke liye Gaming laptop ( ACER Aspire 7) lu ya PC lu?
Ye mera 1st laptop/PC rhega toh custom PC banane ke liye knowledge nhi hai"
3037,hamare udit bhai bhi engineering kar raha hain kya??
3038,"bhaiya aapka jee mains rank
like who want answer"
3039,bhaiya aapka jee mains rank
3040,Jee mains ki tips dedo plzzz abhi feb k lye
3041,Jee Mains 2021 Aspirant here
3042,Bhaiya dtu ke ece mae kitnae bacchae  placed ho Jate hae
3043,There also most of  gathering  study for marks as much as like school
3044,"College khulne vale h 
Exams offline hone valee h
Good marks be like - khatam taata bye bye good bye gya.....😂😂"
3045,I agree with its just like school
3046,Bhaiya 😂😂😂
3047,L lage pare h
3048,Plzzzz  branch civil engenering k baray Mai b video banawo plzzzzzz
3049,"I am also fresher  of civil engenering branch 
Thank you so much bhaiya ❤️❤️"
3050,Bhaiya aap k Branch Kya tha?
3051,Ajay  Raj apki wo Vedio DTU ki jab Sushant Singh rajput ae the DTU. Wo Vedio bari bar dekhti hu. Or Sushant ke liye bahut roti hun. 😞
3052,Last ki Jo editing thi...Bhai ekdam Sahi baithi....🤭🤣
3053,Thank you bhiya ji
3054,"Bhaiya mains ka exam dekar ek best rank laakar kya hum direct second year me entry le sakte  hai nits me ?
Abhi college me hoon first semester."
3055,"Bro mujhe kash iss bar DTU college mil jaye 🥺
Mai aapke channel se inspire hokar without coaching JEE MAINS ki tyari April se kr rha hu boht mehnat kr rha hu mai

But maine physics nhi padhi kyuki uske numericals solve nhi hote the...toh uss time maine decision liya tha ki mai Maths aur Chemistry se hi clear kr dunga means 150+
I'm in Delhi right now
Toh bro plzz bta do 150 marks tk DTU mil jayega na?"
3056,Matlab placements mein zyada se zyada courses ke CERTIFICATES collect kare
3057,Sir courses ke CERTIFICATES zaroori hote hai kya placements ke piye
3058,Dtu khul hi jaye ajay bhai 😂 phla sem toh essi nikl gya hmara . Dukh hi khtm ni hora. Ek bhi fest ni dekha 😂😂
3059,Bhaiya I am getting tier3 or 4 engineering college and people are saying take it college doesn't matter but if you will drop your one year will be wasted
3060,Please make a video on how to explore in college in 1st year
3061,Hello🙂
3062,"First year mai  hu, nsut walo ne ga*d mar rakhi hai 😑😢😢😢😢"
3063,Bhaiya semester ke paper hard aata ha ya easy
3064,Bhaiya opppp
3065,Nahi
3066,Whats Your opinion ?
3067,"Ye Coding channel nahi hai , I won't be making videos related to coding ,
Just shared my experience, aur ek do experience aur share krunga. Don't subscribe if you are looking only for coding content."
3068,Same situation bhi
3069,great insights
3070,Best video 😊
3071,"Damn 6:42 i was asked the exactly same question and I did it just by watching you vid 
Thanks"
3072,Ye utsav bhaiya se kse contact kre?
3073,Bhaiya aapka 12th m kitne %ile  hain
3074,7:00(swapping method) is ka answer using pointer 😎
3075,UTSAV KA BHI VIDEO DALVAO
3076,In which company he got placed ?
3077,Mujhe bhi utsav jaisa dost chahiye 🥹🥹
3078,Cgpa is must important in placement?
3079,Bro your college name ? Please reply
3080,How to connected fraz bhiya personally??
3081,bhaiya your story telling is too good
3082,Congratulation 🤗❤️bhaiji
3083,"Great work bhaiya 
Really helpful video"
3084,Bhai jb appko btana hi ni hota to video hi kyu bnata h
3085,Yr bhai 1 mahine phle q nhi mile tum
3086,"power lifting 
weight lifting 🙂👍
trees 
linked list 
arrays 
👍"
3087,"trees 
linked list 
arrays 
👍"
3088,Bhaiya OOPs ke liye resources please
3089,Who is Striver Bhaiya??
3090,thanks bhaiya
3091,Sir you are too good to join DTU
3092,Bro me commerce line se hu aur bca kar raha hu distance se to kya mujhe off campus me apply Krna thik rahega
3093,How much 10th marks important in placement . Sir if I have 58.8% in 10 can I seat in placement.
3094,Bhai which coding language did u used for placement preparation??
3095,ache tarike se foda hai bhai INTERVIEW... .🤩🤩😎🤏😎🤏
3096,Nits me bhi acchi companies aati hai
